book_name,difficulty,question,opt_a,opt_b,opt_c,opt_d,answer
textbook_v1,Easy,Which company provided figures 1.9 and 1.15?,IBM,Intel,"Apple Computer, Inc.",Cray Inc.,B
textbook_v1,Easy,Figure 1.11 was courtesy of which corporation?,Storage Technology Corp.,Microsoft Research,AMD,NASA Ames Research Center,A
textbook_v1,Easy,The Charles Babbage Institute provided which figures?,"Figures 1.7.3, 6.13.1, 6.13.3","Figures 1.7.1, 1.7.2, 6.13.2","Figures 7.9.1, 7.9.2","Figures 9.11.2, 9.11.3",B
textbook_v1,Easy,"Which company's figures are 1.7.3, 6.13.1, and 6.13.3?","Apple Computer, Inc.",Cray Inc.,IBM,Intel,C
textbook_v1,Easy,Figure 1.7.4 was courtesy of which company?,AMD,Cray Inc.,Storage Technology Corp.,IBM,B
textbook_v1,Easy,Who provided Figure 1.7.5?,The Computer History Museum,"Apple Computer, Inc.",Charles Babbage Institute,Intel,B
textbook_v1,Easy,Figure 1.7.6 was courtesy of which institution?,The Computer Museum of America,The Commercial Computing Museum,The Computer History Museum,Brown University,C
textbook_v1,Easy,Figure 7.33 was courtesy of which company?,AMD,Intel,IBM,"Apple Computer, Inc.",A
textbook_v1,Easy,Which museum provided figures 7.9.1 and 7.9.2?,The Computer History Museum,"Museum of Science, Boston",The Computer Museum of America,Commercial Computing Museum,B
textbook_v1,Easy,Figure 7.9.4 was courtesy of which company?,"MIPS Technologies, Inc.",AMD,IBM,Intel,A
textbook_v1,Medium,"In the MIPS code for clearing an array using indices, what is the purpose of the instruction `sll $t1,$t0,2`?",It increments the loop counter `i` by 1.,It calculates the memory address of `array[i]` by multiplying `i` by 4.,It checks if the loop counter `i` is less than the array size.,It stores the value 0 into the current array element.,B
textbook_v1,Medium,"In the pointer version of the MIPS code for clearing an array, what does the instruction `addi $t0,$t0,4` achieve?",It sets the pointer `p` to the address of the first element of the array.,It stores the value 0 into the memory location pointed to by `p`.,It increments the pointer `p` to point to the next integer (4 bytes away).,It calculates the address of the last element of the array.,C
textbook_v1,Medium,The text mentions that the pointer version of the array clearing code reduces the number of instructions executed per iteration from 7 to 4. This optimization is analogous to which compiler optimization technique?,Loop unrolling,Strength reduction and induction variable elimination,Function inlining,Constant folding,B
textbook_v1,Medium,"When comparing the index-based and pointer-based MIPS code for clearing an array, the key difference in how addresses are handled within the loop is that the index version:",Uses a fixed address for all array elements.,Recalculates the address from the index in each iteration.,Relies on a separate pointer register that is not updated.,Accesses memory directly without using an address calculation.,B
